impl,N,C,run,observed,ms
atomic,1,100000,1,100000,0.821
rmw_lock,1,100000,1,100000,0.950
mutex,1,100000,1,100000,1.049
atomic,1,100000,2,100000,0.699
rmw_lock,1,100000,2,100000,0.828
mutex,1,100000,2,100000,0.941
atomic,1,100000,3,100000,0.624
rmw_lock,1,100000,3,100000,0.681
mutex,1,100000,3,100000,0.826
atomic,2,100000,1,100000,1.829
rmw_lock,2,100000,1,100000,6.775
mutex,2,100000,1,100000,1.011
atomic,2,100000,2,100000,1.679
rmw_lock,2,100000,2,100000,4.475
mutex,2,100000,2,100000,0.961
atomic,2,100000,3,100000,1.075
rmw_lock,2,100000,3,100000,5.280
mutex,2,100000,3,100000,1.058
atomic,4,100000,1,100000,2.093
rmw_lock,4,100000,1,100000,15.253
mutex,4,100000,1,100000,1.515
atomic,4,100000,2,100000,3.161
rmw_lock,4,100000,2,100000,13.494
mutex,4,100000,2,100000,1.927
atomic,4,100000,3,100000,3.535
rmw_lock,4,100000,3,100000,15.193
mutex,4,100000,3,100000,1.569
atomic,8,100000,1,100000,6.417
rmw_lock,8,100000,1,100000,28.005
mutex,8,100000,1,100000,1.732
atomic,8,100000,2,100000,5.372
rmw_lock,8,100000,2,100000,35.613
mutex,8,100000,2,100000,1.401
atomic,8,100000,3,100000,5.409
rmw_lock,8,100000,3,100000,27.317
mutex,8,100000,3,100000,1.542
atomic,16,100000,1,100000,6.774
rmw_lock,16,100000,1,100000,66.378
mutex,16,100000,1,100000,1.722
atomic,16,100000,2,100000,6.796
rmw_lock,16,100000,2,100000,64.150
mutex,16,100000,2,100000,1.406
atomic,16,100000,3,100000,6.722
rmw_lock,16,100000,3,100000,61.961
mutex,16,100000,3,100000,1.367
atomic,1,1000000,1,1000000,4.056
rmw_lock,1,1000000,1,1000000,4.654
mutex,1,1000000,1,1000000,6.058
atomic,1,1000000,2,1000000,4.092
rmw_lock,1,1000000,2,1000000,4.616
mutex,1,1000000,2,1000000,6.337
atomic,1,1000000,3,1000000,4.079
rmw_lock,1,1000000,3,1000000,4.610
mutex,1,1000000,3,1000000,6.311
atomic,2,1000000,1,1000000,25.273
rmw_lock,2,1000000,1,1000000,36.724
mutex,2,1000000,1,1000000,10.963
atomic,2,1000000,2,1000000,10.779
rmw_lock,2,1000000,2,1000000,48.638
mutex,2,1000000,2,1000000,10.029
atomic,2,1000000,3,1000000,10.359
rmw_lock,2,1000000,3,1000000,43.357
mutex,2,1000000,3,1000000,10.238
atomic,4,1000000,1,1000000,32.262
rmw_lock,4,1000000,1,1000000,98.380
mutex,4,1000000,1,1000000,28.318
atomic,4,1000000,2,1000000,15.664
rmw_lock,4,1000000,2,1000000,60.428
mutex,4,1000000,2,1000000,22.675
atomic,4,1000000,3,1000000,16.657
rmw_lock,4,1000000,3,1000000,54.518
mutex,4,1000000,3,1000000,22.318
atomic,8,1000000,1,1000000,59.078
rmw_lock,8,1000000,1,1000000,313.117
mutex,8,1000000,1,1000000,13.361
atomic,8,1000000,2,1000000,60.237
rmw_lock,8,1000000,2,1000000,306.569
mutex,8,1000000,2,1000000,14.441
atomic,8,1000000,3,1000000,60.604
rmw_lock,8,1000000,3,1000000,240.374
mutex,8,1000000,3,1000000,16.844
atomic,16,1000000,1,1000000,79.324
rmw_lock,16,1000000,1,1000000,739.266
mutex,16,1000000,1,1000000,13.338
atomic,16,1000000,2,1000000,78.364
rmw_lock,16,1000000,2,1000000,760.539
mutex,16,1000000,2,1000000,14.103
atomic,16,1000000,3,1000000,73.936
rmw_lock,16,1000000,3,1000000,768.575
mutex,16,1000000,3,1000000,14.636
atomic,1,10000000,1,10000000,39.153
rmw_lock,1,10000000,1,10000000,47.952
mutex,1,10000000,1,10000000,59.021
atomic,1,10000000,2,10000000,37.536
rmw_lock,1,10000000,2,10000000,45.273
mutex,1,10000000,2,10000000,61.309
atomic,1,10000000,3,10000000,37.698
rmw_lock,1,10000000,3,10000000,44.824
mutex,1,10000000,3,10000000,58.499
atomic,2,10000000,1,10000000,128.359
rmw_lock,2,10000000,1,10000000,485.524
mutex,2,10000000,1,10000000,102.614
atomic,2,10000000,2,10000000,158.279
rmw_lock,2,10000000,2,10000000,517.364
mutex,2,10000000,2,10000000,100.259
atomic,2,10000000,3,10000000,165.034
rmw_lock,2,10000000,3,10000000,385.504
mutex,2,10000000,3,10000000,103.278
atomic,4,10000000,1,10000000,302.890
rmw_lock,4,10000000,1,10000000,1060.754
mutex,4,10000000,1,10000000,219.320
atomic,4,10000000,2,10000000,298.363
rmw_lock,4,10000000,2,10000000,770.899
mutex,4,10000000,2,10000000,188.858
atomic,4,10000000,3,10000000,284.506
rmw_lock,4,10000000,3,10000000,1062.072
mutex,4,10000000,3,10000000,228.693
atomic,8,10000000,1,10000000,579.842
rmw_lock,8,10000000,1,10000000,2900.492
mutex,8,10000000,1,10000000,132.795
atomic,8,10000000,2,10000000,559.690
rmw_lock,8,10000000,2,10000000,2547.541
mutex,8,10000000,2,10000000,129.094
atomic,8,10000000,3,10000000,576.642
rmw_lock,8,10000000,3,10000000,2509.120
mutex,8,10000000,3,10000000,132.659
atomic,16,10000000,1,10000000,793.962
rmw_lock,16,10000000,1,10000000,7147.201
mutex,16,10000000,1,10000000,128.150
atomic,16,10000000,2,10000000,761.488
rmw_lock,16,10000000,2,10000000,7235.254
mutex,16,10000000,2,10000000,135.158
atomic,16,10000000,3,10000000,816.386
rmw_lock,16,10000000,3,10000000,7278.726
mutex,16,10000000,3,10000000,139.795
